Round,Cmp.No,Company ,SmallCarSold,MediumCarSold,MediumCarOld2,LargeCarSold,LargeCarSold2,LuxuryCarSold,LuxuryCarSold2,MarketShareSmall,MarketShareMedium,MarketShareMedium2,MarketShareLarge,MarketShareLarge2,MarketShareLuxury,MarketShareLuxury2,SmallPrice,MediumPrice,MediumPrice2,LargePrice,LargePrice2,LuxuryPrice,LuxuryPrice2,Workforce,ProductivityIndex,WeeklySalary,SalesPerEmployee,AutomationExpenditure(M),TotalAutomationExpenditure(M),PromotionBudget(M),Profit(M),ROSF,SharePrice,EarningsPerShare,Dividend,PERatio
7,4,PHEONIX,67909,112000,,70324,,,,1.29%,2.64%,,2.90%,,,,"£32,000.00","£39,500.00",,"£54,000.00",,,,3900,1.6,£720.00,"£26,65,277.95",£85.00,£325.94,£960.00,£103.18,4.22%,£841.37,£20.64,£0.00,40.77
7,5,Oryx,62000,68000,70000,48500,,,,1.18%,1.60%,1.65%,2.00%,,,,"£38,500.00","£45,000.00","£48,000.00","£60,000.00",,,,3800,1.55,£660.00,"£30,83,421.05",£40.00,£790.00,£770.00,"£1,552.73",22.26%,"£2,885.98",£309.93,£0.00,9.31
7,6,Antelope Motors,110000,110000,,57700,48000,,,2.10%,2.59%,,2.38%,1.98%,,,"£37,000.00","£45,000.00",,"£58,000.00","£55,000.00",,,4000,1.92,£760.00,"£37,51,650.00",£700.00,"£1,766.00","£1,790.00","£1,027.49",21.02%,"£2,063.41",£205.50,£21.00,10.04
7,7,V6 Motors,84231,92000,90120,66246,48538,,,1.61%,2.17%,2.12%,2.73%,2.00%,,,"£44,000.00","£54,000.00","£55,000.00","£65,000.00","£71,500.00",,,5940,1.52,£770.00,"£36,03,909.26",£75.00,£820.00,"£2,695.00","£3,923.87",46.57%,"£3,739.65",£635.03,£200.00,5.89
7,8,ALDMAN,28000,25000,35000,,,,,0.53%,0.59%,0.82%,,,,,"£23,000.00","£33,000.00","£32,000.00",,,,,2540,0.81,£770.00,"£10,19,291.34",£0.00,£80.00,£85.00,-£127.45,-115.83%,£1.00,-£25.49,£0.00,-0.04
7,9,Velocity,73447,133200,87888,63682,,,,1.40%,3.13%,2.07%,2.63%,,,,"£34,999.00","£47,599.00","£42,999.00","£58,599.00",,,,3870,2.03,£810.00,"£42,43,296.12",£50.00,£515.20,"£1,688.00",£598.30,33.76%,£735.99,£118.86,£0.00,6.19
9,1,RainbowSix,,73304,100000,45000,,6687,,1.00%,1.58%,2.16%,1.77%,,1.10%,,"£37,500.00","£53,000.00","£47,000.00","£78,000.00",,"£1,75,000.00",,3254,2.58,£850.00,"£47,62,480.64",£57.30,£973.33,"£2,047.23","£2,662.84",16.30%,"£5,773.07",£532.57,£35.00,10.84
9,2,MerseyAuto,,110000,,47978,,12004,9518,,2.37%,,1.89%,,1.97%,1.56%,,"£49,999.00",,"£65,999.00",,"£1,55,999.00","£1,45,999.00",4000,1.45,£785.00,"£29,82,155.13",£10.00,£344.00,"£1,815.53",-£998.78,0.00%,£1.00,-£199.76,£0.00,-0.01
9,3,REV,,86961,86338,52800,,12605,,1.51%,1.87%,1.86%,2.08%,,2.07%,,"£32,000.00","£40,300.00","£45,000.00","£68,289.00",,"£1,36,171.00",,3329,2.66,£810.00,"£46,80,227.79",£120.00,£832.00,"£2,115.00",£48.63,2.97%,£484.64,£9.73,£0.00,49.83
9,4,PHEONIX,,99000,,52000,,8978,,1.01%,2.13%,,2.04%,,1.47%,,"£40,200.00","£48,000.00",,"£62,800.00",,"£1,35,000.00",,3850,1.5,£725.00,"£30,23,800.00",£3.00,£328.94,"£1,250.00","£1,174.63",26.23%,"£1,756.58",£234.93,£0.00,7.48
9,5,Oryx,,40000,44400,28350,30000,,,1.09%,0.86%,0.96%,1.11%,1.18%,,,"£48,500.00","£82,500.00","£82,000.00","£1,10,000.00","£98,000.00",,,3400,1.44,£750.00,"£47,43,397.06",£100.00,"£1,590.00","£1,950.00","£5,355.79",32.20%,"£6,898.59","£1,067.95",£0.00,6.46
9,6,Antelope Motors,,110000,,63565,68000,8902,,1.34%,2.37%,,2.50%,2.67%,1.46%,,"£50,000.00","£60,000.00",,"£70,000.00","£70,000.00","£1,75,000.00",,7999,1.1,£785.00,"£26,67,802.23",£125.00,"£2,026.00","£2,335.00","£4,258.06",38.20%,"£5,130.61",£841.51,£30.00,6.1
9,7,V6 Motors,,91045,77335,67612,73340,,,1.61%,1.96%,1.67%,2.66%,2.88%,,,"£44,000.00","£54,000.00","£56,000.00","£65,000.00","£67,000.00",,,6800,1.41,£810.00,"£33,46,727.94",£85.00,£985.00,"£2,860.00","£3,952.48",24.23%,"£4,542.27",£552.49,£250.00,8.22
9,8,ALDMAN,,18344,26929,,,,,0.53%,0.40%,0.58%,,,,,"£28,000.00","£38,000.00","£36,000.00",,,,,1600,1.16,£801.00,"£15,90,967.50",£50.00,£170.00,£137.00,-£31.56,0.00%,£1.00,-£6.31,£0.00,-0.16
9,9,Velocity,,150000,100000,66117,,10000,,1.43%,3.23%,2.16%,2.60%,,1.64%,,"£38,999.00","£49,999.00","£45,599.00","£60,999.00",,"£1,69,999.00",,3582,3.12,£810.00,"£58,92,666.36",£330.00,"£1,145.20","£1,747.00","£1,800.69",34.61%,£353.08,£353.08,£0.00,6.32
